state_code,source,amap_code,urban,lga_code,LGA,ward_name,ward_code,global_id
EN,INEC,,0,14002,Awgu,Ihe,ENSAWG10,6c5a6178-d8e4-46e5-b98c-3c6b1075d8b0
EN,INEC,,0,14015,Udenu,Amalla,ENSBLF01,6dbf0847-cd12-4a74-a1d6-2bea9fc02a6e
EN,INEC,,0,14013,Nsukka,Edem Ani,ENSNSK10,6f73e5fb-b224-48f2-97e3-c8d712d38bff
EN,INEC,NIE ENS UWN,0,14005,Enugu South,Ndi Uno Amechi,ENSUWN20,70bb9e70-8436-4e46-a5f2-fcb3c86772ef
EN,INEC,,1,14005,Enugu South,Amechi West/Amechi II,ENSUWN07,718bc675-06c6-4fed-b0ad-e1a496fd1aa4
EN,INEC,,0,14016,Udi,Ngwo Uno,ENSUDD11,71f76212-9786-4ec0-96b8-1bed6c57a089
EN,INEC,,0,14001,Aninri,Oduma 3/,ENSDBR15,7469a29f-17b4-422c-a38a-8ed28064698c
EN,INEC,NIE ENS DBR,0,14001,Aninri,Amanasato 2,ENSDBR03,76b0f865-f36d-44e3-bcf7-5a5322b42d30
EN,INEC,,0,14016,Udi,Affa/Oghu,ENSUDD03,76b6774f-53aa-44fe-9475-7c35ff913691
EN,INEC,,0,14015,Udenu,Udunedem,ENSBLF10,76945ccc-910c-465f-8eab-fee7bca8aea0
EN,INEC,,0,14009,Igbo-Eze-South,Uhunowere,ENSBBG07,7791c702-6089-4c1e-badc-dcd1fdf4c5c3
EN,INEC,,0,14009,Igbo-Eze-South,Iheakpu-Awka 1,ENSBBG02,7841852b-94f1-48aa-83ff-6cffd71345ac
EN,INEC,,0,14008,Igbo-Eze North,Ette 2,ENSENZ19,78a969b1-7269-4271-8670-c5a6c45fdfbe
EN,IPD_Campaign,,0,14017,Uzo-Uwani,Ogurugu,ENSUMU02,7a818f9a-fe0a-48f7-8b53-7545d042da6a
EN,INEC,,0,14007,Igbo-Etiti,Aku 3,ENSGBO13,7b58e39b-1f9b-482c-8752-4029cb1a3d86
EN,INEC,,0,14002,Awgu,Mgbidi/Mmaku,ENSAWG08,7b805a92-ee8e-42fb-9125-48afacc9610b
EN,INEC,,0,14011,Nkanu East,Ogbahu/Amankanu/Ubahu,ENSMGL13,7b8c28cf-f0e2-4218-8f1a-c5b2020a6160
EN,INEC,,0,14011,Nkanu East,Amagunze,ENSMGL12,7db1eb0e-0d7b-476c-bf39-160698084f36
EN,INEC,,0,14006,Ezeagu,Iwollo,ENSAGW14,84eb5419-4590-4f3e-af35-37ff4b6ba9fd
EN,INEC,,0,14008,Igbo-Eze North,Umuozzi X,ENSENZ15,803c4ba8-00f4-43e8-9e0f-aa89edc0ec9e
EN,INEC,,0,14006,Ezeagu,Okpogho,ENSAGW18,846c5bc8-9202-4f1e-8ab5-b12041a2fb34
